Report Date,Region,Confirmed
06/11/2020,National,"8,595"
06/11/2020,Northwest,"2,164"
06/11/2020,Southwest,"3,861"
06/11/2020,Eastern Area,"2,570"
06/10/2020,National,"6,919"
06/10/2020,Northwest,"1,137"
06/10/2020,Southwest,"3,963"
06/10/2020,Eastern Area,"1,819"
06/09/2020,National,"9,393"
06/09/2020,Northwest,"3,622"
06/09/2020,Southwest,"3,757"
06/09/2020,Eastern Area,"2,014"
06/08/2020,National,"12,240"
06/08/2020,Northwest,"2,993"
06/08/2020,Southwest,"7,058"
06/08/2020,Eastern Area,"2,189"
06/05/2020,National,"7,551"
06/05/2020,Northwest,"1,897"
06/05/2020,Southwest,"3,888"
06/05/2020,Eastern Area,"1,766"
06/04/2020,National,"7,926"
06/04/2020,Northwest,"2,064"
06/04/2020,Southwest,"3,875"
06/04/2020,Eastern Area,"1,987"
06/03/2020,National,"6,966"
06/03/2020,Northwest,"1,352"
06/03/2020,Southwest,"3,575"
06/03/2020,Eastern Area,"2,039"
06/02/2020,National,"10,317"
06/02/2020,Northwest,"3,523"
06/02/2020,Southwest,"4,277"
06/02/2020,Eastern Area,"2,517"
06/01/2020,National,"13,236"
06/01/2020,Northwest,"3,047"
06/01/2020,Southwest,"8,259"
06/01/2020,Eastern Area,"1,930"
05/29/2020,National,"7,509"
05/29/2020,Northwest,"1,563"
05/29/2020,Southwest,"3,895"
05/29/2020,Eastern Area,"2,051"
05/28/2020,National,"7,895"
05/28/2020,Northwest,"1,771"
05/28/2020,Southwest,"3,468"
05/28/2020,Eastern Area,"2,656"
05/27/2020,National,"7,731"
05/27/2020,Northwest,"1,843"
05/27/2020,Southwest,"3,937"
05/27/2020,Eastern Area,"1,951"
05/26/2020,National,"11,166"
05/26/2020,Northwest,"2,432"
05/26/2020,Southwest,"6,457"
05/26/2020,Eastern Area,"2,277"
05/22/2020,National,"8,012"
05/22/2020,Northwest,"2,182"
05/22/2020,Southwest,"3,902"
05/22/2020,Eastern Area,"1,928"
05/21/2020,National,"8,642"
05/21/2020,Northwest,"1,674"
05/21/2020,Southwest,"4,997"
05/21/2020,Eastern Area,"1,971"
05/20/2020,National,"7,024"
05/20/2020,Northwest,"1,503"
05/20/2020,Southwest,"3,153"
05/20/2020,Eastern Area,"2,368"
05/19/2020,National,"8,051"
05/19/2020,Northwest,"1,931"
05/19/2020,Southwest,"4,159"
05/19/2020,Eastern Area,"1,961"
05/18/2020,National,"13,779"
05/18/2020,Northwest,"2,682"
05/18/2020,Southwest,"8,086"
05/18/2020,Eastern Area,"3,011"
05/15/2020,National,"7,228"
05/15/2020,Northwest,"1,646"
05/15/2020,Southwest,"4,353"
05/15/2020,Eastern Area,"1,229"
05/14/2020,National,"7,925"
05/14/2020,Northwest,"2,197"
05/14/2020,Southwest,"4,055"
05/14/2020,Eastern Area,"1,673"
05/13/2020,National,"6,894"
05/13/2020,Northwest,"1,801"
05/13/2020,Southwest,"3,059"
05/13/2020,Eastern Area,"2,034"
05/12/2020,National,"8,231"
05/12/2020,Northwest,"1,951"
05/12/2020,Southwest,"3,903"
05/12/2020,Eastern Area,"2,377"
05/11/2020,National,"11,372"
05/11/2020,Northwest,"2,457"
05/11/2020,Southwest,"6,640"
05/11/2020,Eastern Area,"2,275"
05/08/2020,National,"9,696"
05/08/2020,Northwest,"2,022"
05/08/2020,Southwest,"5,528"
05/08/2020,Eastern Area,"2,146"
05/07/2020,National,"5,563"
05/07/2020,Northwest,"1,592"
05/07/2020,Southwest,"2,192"
05/07/2020,Eastern Area,"1,779"
05/06/2020,National,"7,968"
05/06/2020,Northwest,"2,086"
05/06/2020,Southwest,"3,723"
05/06/2020,Eastern Area,"2,159"
05/05/2020,National,"9,472"
05/05/2020,Northwest,"2,612"
05/05/2020,Southwest,"4,183"
05/05/2020,Eastern Area,"2,677"
05/04/2020,National,"11,930"
05/04/2020,Northwest,"2,784"
05/04/2020,Southwest,"6,898"
05/04/2020,Eastern Area,"2,248"
05/01/2020,National,"8,889"
05/01/2020,Northwest,"2,067"
05/01/2020,Southwest,"4,621"
05/01/2020,Eastern Area,"2,201"
04/30/2020,National,"8,214"
04/30/2020,Northwest,"2,182"
04/30/2020,Southwest,"4,399"
04/30/2020,Eastern Area,"1,633"
04/29/2020,National,"7,703"
04/29/2020,Northwest,"1,594"
04/29/2020,Southwest,"3,944"
04/29/2020,Eastern Area,"2,165"
04/28/2020,National,"7,813"
04/28/2020,Northwest,"1,851"
04/28/2020,Southwest,"4,111"
04/28/2020,Eastern Area,"1,851"
04/27/2020,National,"13,906"
04/27/2020,Northwest,"2,699"
04/27/2020,Southwest,"7,767"
04/27/2020,Eastern Area,"3,440"
04/24/2020,National,"8,097"
04/24/2020,Northwest,"1,668"
04/24/2020,Southwest,"4,097"
04/24/2020,Eastern Area,"2,332"
04/23/2020,National,"9,177"
04/23/2020,Northwest,"2,175"
04/23/2020,Southwest,"4,204"
04/23/2020,Eastern Area,"2,798"
04/22/2020,National,"8,618"
04/22/2020,Northwest,"2,107"
04/22/2020,Southwest,"4,097"
04/22/2020,Eastern Area,"2,414"
04/21/2020,National,"7,477"
04/21/2020,Northwest,"2,199"
04/21/2020,Southwest,"3,772"
04/21/2020,Eastern Area,"1,506"
04/20/2020,National,"10,295"
04/20/2020,Northwest,"2,159"
04/20/2020,Southwest,"5,483"
04/20/2020,Eastern Area,"2,653"
04/17/2020,National,"8,302"
04/17/2020,Northwest,"1,876"
04/17/2020,Southwest,"4,755"
04/17/2020,Eastern Area,"1,671"
04/16/2020,National,"8,163"
04/16/2020,Northwest,"2,002"
04/16/2020,Southwest,"4,128"
04/16/2020,Eastern Area,"2,033"
04/15/2020,National,"7,682"
04/15/2020,Northwest,"1,929"
04/15/2020,Southwest,"3,522"
04/15/2020,Eastern Area,"2,231"
04/14/2020,National,"8,275"
04/14/2020,Northwest,"2,407"
04/14/2020,Southwest,"4,263"
04/14/2020,Eastern Area,"1,605"
04/13/2020,National,"10,401"
04/13/2020,Northwest,"1,986"
04/13/2020,Southwest,"5,732"
04/13/2020,Eastern Area,"2,683"
04/10/2020,National,"8,887"
04/10/2020,Northwest,"2,019"
04/10/2020,Southwest,"4,159"
04/10/2020,Eastern Area,"2,709"
04/09/2020,National,"8,235"
04/09/2020,Northwest,"2,013"
04/09/2020,Southwest,"3,698"
04/09/2020,Eastern Area,"2,524"
04/08/2020,National,"7,958"
04/08/2020,Northwest,"1,845"
04/08/2020,Southwest,"3,850"
04/08/2020,Eastern Area,"2,263"
04/07/2020,National,"9,287"
04/07/2020,Northwest,"1,982"
04/07/2020,Southwest,"4,649"
04/07/2020,Eastern Area,"2,656"
04/06/2020,National,"11,845"
04/06/2020,Northwest,"2,293"
04/06/2020,Southwest,"7,140"
04/06/2020,Eastern Area,"2,412"
04/03/2020,National,"9,779"
04/03/2020,Northwest,"2,562"
04/03/2020,Southwest,"3,930"
04/03/2020,Eastern Area,"3,287"
04/02/2020,National,"9,053"
04/02/2020,Northwest,"2,217"
04/02/2020,Southwest,"4,360"
04/02/2020,Eastern Area,"2,476"
04/01/2020,National,"7,943"
04/01/2020,Northwest,"1,905"
04/01/2020,Southwest,"3,067"
04/01/2020,Eastern Area,"2,971"
03/31/2020,National,"9,586"
03/31/2020,Northwest,"2,960"
03/31/2020,Southwest,"3,611"
03/31/2020,Eastern Area,"3,015"
03/30/2020,National,"9,270"
03/30/2020,Northwest,"2,185"
03/30/2020,Southwest,"4,167"
03/30/2020,Eastern Area,"2,918"
03/27/2020,National,"9,091"
03/27/2020,Northwest,"3,190"
03/27/2020,Southwest,"2,866"
03/27/2020,Eastern Area,"3,035"
03/26/2020,National,"8,553"
03/26/2020,Northwest,"1,927"
03/26/2020,Southwest,"3,194"
03/26/2020,Eastern Area,"3,432"
03/25/2020,National,"5,912"
03/25/2020,Northwest,"2,057"
03/25/2020,Southwest,"1,868"
03/25/2020,Eastern Area,"1,987"
03/24/2020,National,"10,479"
03/24/2020,Northwest,"3,538"
03/24/2020,Southwest,"3,659"
03/24/2020,Eastern Area,"3,282"
03/23/2020,National,"11,737"
03/23/2020,Northwest,"3,216"
03/23/2020,Southwest,"5,035"
03/23/2020,Eastern Area,"3,486"
03/20/2020,National,"8,821"
03/20/2020,Northwest,"2,561"
03/20/2020,Southwest,"3,816"
03/20/2020,Eastern Area,"2,444"
03/19/2020,National,"8,141"
03/19/2020,Northwest,"2,001"
03/19/2020,Southwest,"3,206"
03/19/2020,Eastern Area,"2,934"
03/18/2020,National,"8,206"
03/18/2020,Northwest,"2,320"
03/18/2020,Southwest,"3,646"
03/18/2020,Eastern Area,"2,240"
03/17/2020,National,"9,762"
03/17/2020,Northwest,"2,913"
03/17/2020,Southwest,"3,986"
03/17/2020,Eastern Area,"2,863"
03/16/2020,National,"10,314"
03/16/2020,Northwest,"2,768"
03/16/2020,Southwest,"4,251"
03/16/2020,Eastern Area,"3,295"
03/13/2020,National,"9,648"
03/13/2020,Northwest,"2,298"
03/13/2020,Southwest,"4,224"
03/13/2020,Eastern Area,"3,126"
03/12/2020,National,"8,867"
03/12/2020,Northwest,"2,302"
03/12/2020,Southwest,"3,583"
03/12/2020,Eastern Area,"2,982"
03/11/2020,National,"7,465"
03/11/2020,Northwest,"2,289"
03/11/2020,Southwest,"2,921"
03/11/2020,Eastern Area,"2,255"
03/10/2020,National,"7,481"
03/10/2020,Northwest,"2,546"
03/10/2020,Southwest,"2,312"
03/10/2020,Eastern Area,"2,623"
03/09/2020,National,"10,147"
03/09/2020,Northwest,"2,698"
03/09/2020,Southwest,"4,103"
03/09/2020,Eastern Area,"3,346"
03/06/2020,National,"9,822"
03/06/2020,Northwest,"2,905"
03/06/2020,Southwest,"3,905"
03/06/2020,Eastern Area,"3,012"
03/05/2020,National,"7,555"
03/05/2020,Northwest,"1,776"
03/05/2020,Southwest,"3,093"
03/05/2020,Eastern Area,"2,686"
03/04/2020,National,"8,812"
03/04/2020,Northwest,"2,033"
03/04/2020,Southwest,"3,681"
03/04/2020,Eastern Area,"3,098"
03/03/2020,National,"8,521"
03/03/2020,Northwest,"3,058"
03/03/2020,Southwest,"3,388"
03/03/2020,Eastern Area,"2,075"
03/02/2020,National,"9,635"
03/02/2020,Northwest,"2,556"
03/02/2020,Southwest,"3,999"
03/02/2020,Eastern Area,"3,080"
02/28/2020,National,"8,397"
02/28/2020,Northwest,"2,403"
02/28/2020,Southwest,"3,958"
02/28/2020,Eastern Area,"2,036"
02/27/2020,National,"8,421"
02/27/2020,Northwest,"2,309"
02/27/2020,Southwest,"3,230"
02/27/2020,Eastern Area,"2,882"
02/26/2020,National,"8,461"
02/26/2020,Northwest,"2,130"
02/26/2020,Southwest,"3,402"
02/26/2020,Eastern Area,"2,929"
02/25/2020,National,"8,942"
02/25/2020,Northwest,"2,343"
02/25/2020,Southwest,"3,677"
02/25/2020,Eastern Area,"2,922"
02/24/2020,National,"10,997"
02/24/2020,Northwest,"2,447"
02/24/2020,Southwest,"5,435"
02/24/2020,Eastern Area,"3,115"
02/21/2020,National,"9,588"
02/21/2020,Northwest,"2,796"
02/21/2020,Southwest,"3,889"
02/21/2020,Eastern Area,"2,903"
02/20/2020,National,"7,675"
02/20/2020,Northwest,"1,938"
02/20/2020,Southwest,"3,468"
02/20/2020,Eastern Area,"2,269"
02/19/2020,National,"7,514"
02/19/2020,Northwest,"2,069"
02/19/2020,Southwest,"2,712"
02/19/2020,Eastern Area,"2,733"
02/18/2020,National,"10,128"
02/18/2020,Northwest,"2,707"
02/18/2020,Southwest,"3,730"
02/18/2020,Eastern Area,"3,691"
02/17/2020,National,"10,883"
02/17/2020,Northwest,"2,078"
02/17/2020,Southwest,"5,051"
02/17/2020,Eastern Area,"3,754"
02/14/2020,National,"8,129"
02/14/2020,Northwest,"2,336"
02/14/2020,Southwest,"3,477"
02/14/2020,Eastern Area,"2,315"
02/13/2020,National,"8,608"
02/13/2020,Northwest,"2,347"
02/13/2020,Southwest,"3,448"
02/13/2020,Eastern Area,"2,813"
02/12/2020,National,"8,562"
02/12/2020,Northwest,"2,489"
02/12/2020,Southwest,"2,996"
02/12/2020,Eastern Area,"2,998"
02/11/2020,National,"9,665"
02/11/2020,Northwest,"2,920"
02/11/2020,Southwest,"3,643"
02/11/2020,Eastern Area,"3,102"
02/10/2020,National,"12,039"
02/10/2020,Northwest,"2,914"
02/10/2020,Southwest,"5,301"
02/10/2020,Eastern Area,"3,824"
02/07/2020,National,"9,489"
02/07/2020,Northwest,"2,599"
02/07/2020,Southwest,"3,573"
02/07/2020,Eastern Area,"3,317"
02/06/2020,National,"7,803"
02/06/2020,Northwest,"2,056"
02/06/2020,Southwest,"2,944"
02/06/2020,Eastern Area,"2,803"
02/05/2020,National,"7,587"
02/05/2020,Northwest,"1,839"
02/05/2020,Southwest,"3,348"
02/05/2020,Eastern Area,"2,400"
02/04/2020,National,"8,587"
02/04/2020,Northwest,"2,761"
02/04/2020,Southwest,"2,945"
02/04/2020,Eastern Area,"2,881"
02/03/2020,National,"11,772"
02/03/2020,Northwest,"2,661"
02/03/2020,Southwest,"5,426"
02/03/2020,Eastern Area,"3,685"
01/31/2020,National,"9,323"
01/31/2020,Northwest,"2,646"
01/31/2020,Southwest,"3,665"
01/31/2020,Eastern Area,"3,012"
01/30/2020,National,"8,890"
01/30/2020,Northwest,"2,064"
01/30/2020,Southwest,"3,540"
01/30/2020,Eastern Area,"3,286"
01/29/2020,National,"7,267"
01/29/2020,Northwest,"1,526"
01/29/2020,Southwest,"3,189"
01/29/2020,Eastern Area,"2,552"
01/28/2020,National,"9,271"
01/28/2020,Northwest,"2,232"
01/28/2020,Southwest,"4,138"
01/28/2020,Eastern Area,"2,901"
01/27/2020,National,"14,826"
01/27/2020,Northwest,"4,574"
01/27/2020,Southwest,"6,482"
01/27/2020,Eastern Area,"3,770"
01/24/2020,National,"9,180"
01/24/2020,Northwest,"2,176"
01/24/2020,Southwest,"4,291"
01/24/2020,Eastern Area,"2,713"
01/23/2020,National,"7,824"
01/23/2020,Northwest,"1,232"
01/23/2020,Southwest,"3,989"
01/23/2020,Eastern Area,"2,603"
01/22/2020,National,"7,554"
01/22/2020,Northwest,"1,817"
01/22/2020,Southwest,"3,093"
01/22/2020,Eastern Area,"2,644"
01/21/2020,National,"10,435"
01/21/2020,Northwest,"2,246"
01/21/2020,Southwest,"4,446"
01/21/2020,Eastern Area,"3,743"
01/20/2020,National,"12,945"
01/20/2020,Northwest,"3,408"
01/20/2020,Southwest,"6,379"
01/20/2020,Eastern Area,"3,158"
01/17/2020,National,"11,524"
01/17/2020,Northwest,"2,946"
01/17/2020,Southwest,"4,390"
01/17/2020,Eastern Area,"4,188"
01/16/2020,National,"8,719"
01/16/2020,Northwest,"2,684"
01/16/2020,Southwest,"3,927"
01/16/2020,Eastern Area,"2,108"
01/15/2020,National,"9,156"
01/15/2020,Northwest,"2,079"
01/15/2020,Southwest,"3,536"
01/15/2020,Eastern Area,"3,541"
01/14/2020,National,"10,093"
01/14/2020,Northwest,"2,309"
01/14/2020,Southwest,"4,083"
01/14/2020,Eastern Area,"3,701"
01/13/2020,National,"18,972"
01/13/2020,Northwest,"6,085"
01/13/2020,Southwest,"8,618"
01/13/2020,Eastern Area,"4,269"
01/10/2020,National,"8,507"
01/10/2020,Northwest,"2,233"
01/10/2020,Southwest,"3,788"
01/10/2020,Eastern Area,"2,486"
01/09/2020,National,"11,615"
01/09/2020,Northwest,"3,314"
01/09/2020,Southwest,"3,771"
01/09/2020,Eastern Area,"4,530"
01/08/2020,National,"9,285"
01/08/2020,Northwest,"2,667"
01/08/2020,Southwest,"3,580"
01/08/2020,Eastern Area,"3,038"
01/07/2020,National,"10,806"
01/07/2020,Northwest,"3,142"
01/07/2020,Southwest,"4,193"
01/07/2020,Eastern Area,"3,471"
01/06/2020,National,"17,816"
01/06/2020,Northwest,"5,942"
01/06/2020,Southwest,"7,776"
01/06/2020,Eastern Area,"4,098"
01/03/2020,National,"10,915"
01/03/2020,Northwest,"3,478"
01/03/2020,Southwest,"4,100"
01/03/2020,Eastern Area,"3,337"
01/02/2020,National,"10,402"
01/02/2020,Northwest,"2,939"
01/02/2020,Southwest,"3,597"
01/02/2020,Eastern Area,"3,866"
12/31/2019,National,"11,986"
12/31/2019,Northwest,"2,635"
12/31/2019,Southwest,"4,640"
12/31/2019,Eastern Area,"4,711"
12/30/2019,National,"13,415"
12/30/2019,Northwest,"3,664"
12/30/2019,Southwest,"6,200"
12/30/2019,Eastern Area,"3,551"
12/27/2019,National,"8,050"
12/27/2019,Northwest,"2,611"
12/27/2019,Southwest,"3,468"
12/27/2019,Eastern Area,"1,971"
12/26/2019,National,"14,037"
12/26/2019,Northwest,"3,284"
12/26/2019,Southwest,"5,348"
12/26/2019,Eastern Area,"5,405"
12/23/2019,National,"16,015"
12/23/2019,Northwest,"4,422"
12/23/2019,Southwest,"7,751"
12/23/2019,Eastern Area,"3,842"
12/20/2019,National,"10,277"
12/20/2019,Northwest,"3,120"
12/20/2019,Southwest,"4,137"
12/20/2019,Eastern Area,"3,020"
12/19/2019,National,"8,891"
12/19/2019,Northwest,"2,437"
12/19/2019,Southwest,"3,695"
12/19/2019,Eastern Area,"2,759"
12/18/2019,National,"9,050"
12/18/2019,Northwest,"2,057"
12/18/2019,Southwest,"3,685"
12/18/2019,Eastern Area,"3,308"
12/17/2019,National,"10,777"
12/17/2019,Northwest,"2,452"
12/17/2019,Southwest,"4,261"
12/17/2019,Eastern Area,"4,064"
12/16/2019,National,"15,361"
12/16/2019,Northwest,"4,361"
12/16/2019,Southwest,"7,176"
12/16/2019,Eastern Area,"3,824"
12/13/2019,National,"10,460"
12/13/2019,Northwest,"2,530"
12/13/2019,Southwest,"4,840"
12/13/2019,Eastern Area,"3,090"
12/12/2019,National,"9,723"
12/12/2019,Northwest,"2,215"
12/12/2019,Southwest,"3,959"
12/12/2019,Eastern Area,"3,549"
12/11/2019,National,"8,031"
12/11/2019,Northwest,"1,579"
12/11/2019,Southwest,"3,523"
12/11/2019,Eastern Area,"2,929"
12/10/2019,National,"11,461"
12/10/2019,Northwest,"2,428"
12/10/2019,Southwest,"4,987"
12/10/2019,Eastern Area,"4,046"
12/09/2019,National,"15,998"
12/09/2019,Northwest,"4,812"
12/09/2019,Southwest,"6,737"
12/09/2019,Eastern Area,"4,449"
12/06/2019,National,"10,442"
12/06/2019,Northwest,"2,991"
12/06/2019,Southwest,"4,320"
12/06/2019,Eastern Area,"3,131"
12/05/2019,National,"9,184"
12/05/2019,Northwest,"2,195"
12/05/2019,Southwest,"3,560"
12/05/2019,Eastern Area,"3,429"
12/04/2019,National,"9,654"
12/04/2019,Northwest,"2,235"
12/04/2019,Southwest,"3,740"
12/04/2019,Eastern Area,"3,679"
12/03/2019,National,"9,906"
12/03/2019,Northwest,"2,691"
12/03/2019,Southwest,"4,062"
12/03/2019,Eastern Area,"3,153"
12/02/2019,National,"14,129"
12/02/2019,Northwest,"3,334"
12/02/2019,Southwest,"7,088"
12/02/2019,Eastern Area,"3,707"
11/29/2019,National,"9,099"
11/29/2019,Northwest,"2,027"
11/29/2019,Southwest,"4,249"
11/29/2019,Eastern Area,"2,823"
11/27/2019,National,"8,496"
11/27/2019,Northwest,"1,571"
11/27/2019,Southwest,"4,047"
11/27/2019,Eastern Area,"2,878"
11/26/2019,National,"10,527"
11/26/2019,Northwest,"2,599"
11/26/2019,Southwest,"4,517"
11/26/2019,Eastern Area,"3,411"
11/25/2019,National,"15,947"
11/25/2019,Northwest,"4,347"
11/25/2019,Southwest,"7,642"
11/25/2019,Eastern Area,"3,958"
11/22/2019,National,"8,924"
11/22/2019,Northwest,"1,613"
11/22/2019,Southwest,"4,212"
11/22/2019,Eastern Area,"3,099"
11/21/2019,National,"8,925"
11/21/2019,Northwest,"1,487"
11/21/2019,Southwest,"3,728"
11/21/2019,Eastern Area,"3,710"
11/20/2019,National,"8,271"
11/20/2019,Northwest,"1,547"
11/20/2019,Southwest,"3,651"
11/20/2019,Eastern Area,"3,073"
11/19/2019,National,"8,488"
11/19/2019,Northwest,"1,454"
11/19/2019,Southwest,"3,754"
11/19/2019,Eastern Area,"3,280"
11/18/2019,National,"13,685"
11/18/2019,Northwest,"1,954"
11/18/2019,Southwest,"7,210"
11/18/2019,Eastern Area,"4,521"
11/15/2019,National,"10,415"
11/15/2019,Northwest,"1,640"
11/15/2019,Southwest,"5,680"
11/15/2019,Eastern Area,"3,095"
11/14/2019,National,"8,026"
11/14/2019,Northwest,"1,702"
11/14/2019,Southwest,"2,744"
11/14/2019,Eastern Area,"3,580"
11/13/2019,National,"7,923"
11/13/2019,Northwest,"1,124"
11/13/2019,Southwest,"4,099"
11/13/2019,Eastern Area,"2,700"
11/12/2019,National,"9,904"
11/12/2019,Northwest,"1,469"
11/12/2019,Southwest,"4,327"
11/12/2019,Eastern Area,"4,108"
11/11/2019,National,"11,718"
11/11/2019,Northwest,"1,481"
11/11/2019,Southwest,"6,921"
11/11/2019,Eastern Area,"3,316"
11/08/2019,National,"8,965"
11/08/2019,Northwest,"1,607"
11/08/2019,Southwest,"4,301"
11/08/2019,Eastern Area,"3,057"
11/07/2019,National,"9,476"
11/07/2019,Northwest,"1,547"
11/07/2019,Southwest,"4,215"
11/07/2019,Eastern Area,"3,714"
11/06/2019,National,"8,088"
11/06/2019,Northwest,"1,387"
11/06/2019,Southwest,"3,637"
11/06/2019,Eastern Area,"3,064"
11/05/2019,National,"8,746"
11/05/2019,Northwest,"1,034"
11/05/2019,Southwest,"4,091"
11/05/2019,Eastern Area,"3,621"
11/04/2019,National,"11,480"
11/04/2019,Northwest,"1,448"
11/04/2019,Southwest,"6,350"
11/04/2019,Eastern Area,"3,682"
11/01/2019,National,"9,588"
11/01/2019,Northwest,"1,339"
11/01/2019,Southwest,"4,682"
11/01/2019,Eastern Area,"3,567"
10/31/2019,National,"9,040"
10/31/2019,Northwest,"1,812"
10/31/2019,Southwest,"4,315"
10/31/2019,Eastern Area,"2,913"
10/30/2019,National,"8,806"
10/30/2019,Northwest,"1,345"
10/30/2019,Southwest,"4,343"
10/30/2019,Eastern Area,"3,118"
10/29/2019,National,"9,745"
10/29/2019,Northwest,"1,328"
10/29/2019,Southwest,"4,573"
10/29/2019,Eastern Area,"3,844"
10/28/2019,National,"12,355"
10/28/2019,Northwest,"2,038"
10/28/2019,Southwest,"6,123"
10/28/2019,Eastern Area,"4,194"
10/25/2019,National,"9,626"
10/25/2019,Northwest,"2,007"
10/25/2019,Southwest,"4,938"
10/25/2019,Eastern Area,"2,681"
10/24/2019,National,"9,301"
10/24/2019,Northwest,"1,430"
10/24/2019,Southwest,"4,258"
10/24/2019,Eastern Area,"3,613"
10/23/2019,National,"9,116"
10/23/2019,Northwest,"1,394"
10/23/2019,Southwest,"4,484"
10/23/2019,Eastern Area,"3,238"
10/22/2019,National,"9,082"
10/22/2019,Northwest,"1,243"
10/22/2019,Southwest,"3,932"
10/22/2019,Eastern Area,"3,907"
10/21/2019,National,"13,245"
10/21/2019,Northwest,"1,871"
10/21/2019,Southwest,"7,629"
10/21/2019,Eastern Area,"3,745"
10/18/2019,National,"9,618"
10/18/2019,Northwest,"1,444"
10/18/2019,Southwest,"4,454"
10/18/2019,Eastern Area,"3,720"
10/17/2019,National,"8,339"
10/17/2019,Northwest,"1,488"
10/17/2019,Southwest,"4,139"
10/17/2019,Eastern Area,"2,712"
10/16/2019,National,"9,346"
10/16/2019,Northwest,"1,169"
10/16/2019,Southwest,"4,161"
10/16/2019,Eastern Area,"4,016"
10/15/2019,National,"8,776"
10/15/2019,Northwest,"1,229"
10/15/2019,Southwest,"4,606"
10/15/2019,Eastern Area,"2,941"
10/14/2019,National,"9,922"
10/14/2019,Northwest,"1,281"
10/14/2019,Southwest,"4,484"
10/14/2019,Eastern Area,"4,157"
10/11/2019,National,"9,645"
10/11/2019,Northwest,"1,494"
10/11/2019,Southwest,"4,502"
10/11/2019,Eastern Area,"3,649"
10/10/2019,National,"7,578"
10/10/2019,Northwest,"1,461"
10/10/2019,Southwest,"3,322"
10/10/2019,Eastern Area,"2,795"
10/09/2019,National,"7,929"
10/09/2019,Northwest,776
10/09/2019,Southwest,"3,696"
10/09/2019,Eastern Area,"3,457"
10/08/2019,National,"9,502"
10/08/2019,Northwest,"1,735"
10/08/2019,Southwest,"4,112"
10/08/2019,Eastern Area,"3,655"
10/07/2019,National,"9,783"
10/07/2019,Northwest,"1,349"
10/07/2019,Southwest,"5,395"
10/07/2019,Eastern Area,"3,039"
10/04/2019,National,"9,050"
10/04/2019,Northwest,"1,567"
10/04/2019,Southwest,"4,110"
10/04/2019,Eastern Area,"3,373"
10/03/2019,National,"9,710"
10/03/2019,Northwest,"1,699"
10/03/2019,Southwest,"4,398"
10/03/2019,Eastern Area,"3,613"
10/02/2019,National,"7,821"
10/02/2019,Northwest,"1,368"
10/02/2019,Southwest,"3,660"
10/02/2019,Eastern Area,"2,793"
10/01/2019,National,"8,552"
10/01/2019,Northwest,"1,694"
10/01/2019,Southwest,"3,784"
10/01/2019,Eastern Area,"3,074"
09/30/2019,National,"10,672"
09/30/2019,Northwest,"1,322"
09/30/2019,Southwest,"5,574"
09/30/2019,Eastern Area,"3,776"
09/27/2019,National,"8,257"
09/27/2019,Northwest,"1,692"
09/27/2019,Southwest,"4,316"
09/27/2019,Eastern Area,"2,249"
09/26/2019,National,"6,902"
09/26/2019,Northwest,"1,132"
09/26/2019,Southwest,"3,559"
09/26/2019,Eastern Area,"2,211"
09/25/2019,National,"8,234"
09/25/2019,Northwest,"1,447"
09/25/2019,Southwest,"3,490"
09/25/2019,Eastern Area,"3,297"
09/24/2019,National,"8,124"
09/24/2019,Northwest,"1,184"
09/24/2019,Southwest,"3,851"
09/24/2019,Eastern Area,"3,089"
09/23/2019,National,"12,178"
09/23/2019,Northwest,"1,848"
09/23/2019,Southwest,"6,185"
09/23/2019,Eastern Area,"4,145"
09/20/2019,National,"8,389"
09/20/2019,Northwest,"1,504"
09/20/2019,Southwest,"4,429"
09/20/2019,Eastern Area,"2,456"
09/19/2019,National,"8,591"
09/19/2019,Northwest,"1,367"
09/19/2019,Southwest,"3,802"
09/19/2019,Eastern Area,"3,422"
09/18/2019,National,"8,789"
09/18/2019,Northwest,"1,365"
09/18/2019,Southwest,"4,042"
09/18/2019,Eastern Area,"3,382"
09/17/2019,National,"10,249"
09/17/2019,Northwest,"1,648"
09/17/2019,Southwest,"5,009"
09/17/2019,Eastern Area,"3,592"
09/16/2019,National,"11,557"
09/16/2019,Northwest,"1,969"
09/16/2019,Southwest,"6,540"
09/16/2019,Eastern Area,"3,048"
09/13/2019,National,"8,931"
09/13/2019,Northwest,"1,515"
09/13/2019,Southwest,"4,537"
09/13/2019,Eastern Area,"2,879"
09/12/2019,National,"8,892"
09/12/2019,Northwest,"1,791"
09/12/2019,Southwest,"3,551"
09/12/2019,Eastern Area,"3,550"
09/10/2019,National,"8,347"
09/10/2019,Northwest,"1,319"
09/10/2019,Southwest,"4,385"
09/10/2019,Eastern Area,"2,643"
09/09/2019,National,"12,968"
09/09/2019,Northwest,"2,411"
09/09/2019,Southwest,"6,639"
09/09/2019,Eastern Area,"3,918"
09/06/2019,National,"9,100"
09/06/2019,Northwest,"1,662"
09/06/2019,Southwest,"4,277"
09/06/2019,Eastern Area,"3,161"
09/05/2019,National,"9,090"
09/05/2019,Northwest,"1,750"
09/05/2019,Southwest,"4,032"
09/05/2019,Eastern Area,"3,308"
09/04/2019,National,"8,639"
09/04/2019,Northwest,"1,585"
09/04/2019,Southwest,"4,128"
09/04/2019,Eastern Area,"2,926"
09/03/2019,National,"12,096"
09/03/2019,Northwest,"1,477"
09/03/2019,Southwest,"6,310"
09/03/2019,Eastern Area,"4,309"
